Position,TeamName,Played,Points,Wins,Drawn,Lost,Byes,For,Against,Diff
1,Panthers,11,22,11,0,0,0,364,84,280
2,Storm,11,18,9,0,2,0,370,136,234
3,Eels,11,18,9,0,2,0,300,170,130
4,Rabbitohs,11,16,8,0,3,0,279,252,27
5,Roosters,11,14,7,0,4,0,300,181,119
6,Sea Eagles,11,12,6,0,5,0,255,246,9
7,Dragons,11,10,5,0,6,0,223,226,-3
8,Titans,11,10,5,0,6,0,260,287,-27
9,Warriors,11,10,5,0,6,0,237,276,-39
10,Cowboys,11,10,5,0,6,0,217,305,-88
11,Raiders,11,8,4,0,7,0,203,261,-58
12,Knights,11,8,4,0,7,0,199,292,-93
13,Sharks,11,6,3,0,8,0,195,270,-75
14,Wests Tigers,11,6,3,0,8,0,220,310,-90
15,Broncos,11,6,3,0,8,0,180,306,-126
16,Bulldogs,11,2,1,0,10,0,130,330,-200
